Country,1990,1995,2000,2005,2010,2015,2017,2018
EU28,0.37,0.32,0.28,0.26,0.23,0.19,0.18,0.18
GLOBAL TOTAL,0.47,0.45,0.40,0.39,0.37,0.33,0.32,0.31
Afghanistan,0.20,0.06,0.05,0.04,0.12,0.16,0.16,0.16
Albania,0.45,0.16,0.19,0.19,0.16,0.15,0.14,0.14
Algeria,0.26,0.30,0.27,0.24,0.25,0.29,0.27,0.28
Angola,0.20,0.27,0.26,0.16,0.16,0.18,0.18,0.17
Anguilla,0.03,0.08,0.07,0.04,0.08,0.09,0.09,0.09
Antigua and Barbuda,0.20,0.21,0.15,0.16,0.20,0.31,0.29,0.28
Argentina,0.30,0.27,0.27,0.27,0.25,0.26,0.26,0.26
Armenia,1.56,0.52,0.41,0.28,0.23,0.21,0.20,0.21
Aruba,0.13,0.14,0.12,0.12,0.14,0.26,0.26,0.26
Australia,0.57,0.55,0.52,0.49,0.45,0.38,0.37,0.37
Austria,0.26,0.24,0.22,0.24,0.21,0.18,0.18,0.17
Azerbaijan,0.92,1.25,0.76,0.44,0.17,0.20,0.20,0.22
Bahamas,0.19,0.20,0.17,0.19,0.17,0.27,0.28,0.27
Bahrain,0.69,0.63,0.59,0.61,0.57,0.56,0.54,0.52
Bangladesh,0.10,0.12,0.12,0.14,0.16,0.16,0.15,0.15
Barbados,0.21,0.20,0.39,0.49,0.51,0.68,0.64,0.69
Belarus,1.28,1.13,0.76,0.57,0.43,0.37,0.38,0.38
Belgium,0.38,0.37,0.33,0.28,0.26,0.22,0.21,0.21
Belize,0.20,0.15,0.18,0.20,0.10,0.15,0.15,0.15
Benin,0.06,0.05,0.14,0.20,0.31,0.28,0.32,0.30
Bermuda,0.14,0.10,0.09,0.08,0.10,0.13,0.13,0.13
Bhutan,0.17,0.24,0.22,0.17,0.28,0.20,0.22,0.22
Bolivia,0.26,0.27,0.22,0.23,0.28,0.28,0.29,0.29
Bosnia and Herzegovina,25.16,0.51,0.60,0.54,0.61,0.62,0.67,0.65
Botswana,0.26,0.24,0.24,0.21,0.13,0.22,0.22,0.20
Brazil,0.15,0.16,0.18,0.17,0.16,0.17,0.17,0.17
British Virgin Islands,0.19,0.06,0.04,0.04,0.12,0.22,0.24,0.28
Brunei,0.16,0.18,0.18,0.17,0.24,0.21,0.22,0.22
Bulgaria,1.02,0.84,0.66,0.55,0.43,0.40,0.36,0.33
Burkina Faso,0.05,0.06,0.07,0.06,0.08,0.11,0.11,0.11
Burundi,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.04
Cambodia,0.01,0.13,0.12,0.10,0.14,0.17,0.18,0.17
Cameroon,0.14,0.32,0.25,0.19,0.18,0.18,0.17,0.17
Canada,0.52,0.52,0.48,0.44,0.41,0.38,0.37,0.36
Cape Verde,0.09,0.11,0.09,0.10,0.11,0.28,0.29,0.29
Cayman Islands,0.07,0.07,0.05,0.05,0.08,0.13,0.12,0.12
Central African Republic,0.06,0.08,0.09,0.07,0.08,0.14,0.13,0.13
Chad,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Chile,0.28,0.24,0.24,0.21,0.22,0.21,0.22,0.21
China,1.39,1.10,0.79,0.84,0.72,0.58,0.52,0.50
Colombia,0.20,0.19,0.19,0.15,0.13,0.13,0.13,0.14
Comoros,0.05,0.05,0.04,0.08,0.08,0.10,0.10,0.10
Congo,0.19,0.21,0.31,0.25,0.24,0.21,0.23,0.27
Costa Rica,0.12,0.16,0.13,0.13,0.12,0.11,0.11,0.11
Côte d’Ivoire,0.08,0.09,0.14,0.13,0.14,0.15,0.15,0.15
Croatia,0.41,0.29,0.28,0.27,0.24,0.21,0.21,0.20
Cuba,0.24,0.22,0.21,0.15,0.15,0.12,0.10,0.09
Curaçao,1.26,1.32,1.38,1.21,1.48,1.78,2.08,2.04
Cyprus,0.35,0.34,0.34,0.32,0.28,0.25,0.26,0.25
Czechia,0.79,0.67,0.60,0.48,0.41,0.33,0.32,0.31
Democratic Republic of the Congo,0.07,0.07,0.07,0.08,0.07,0.06,0.04,0.04
Denmark,0.31,0.32,0.24,0.21,0.20,0.13,0.12,0.12
Djibouti,0.83,0.73,0.75,0.74,0.62,0.36,0.26,0.30
Dominica,0.07,0.12,0.11,0.09,0.11,0.17,0.19,0.19
Dominican Republic,0.20,0.23,0.28,0.23,0.19,0.17,0.16,0.15
Ecuador,0.23,0.24,0.23,0.24,0.27,0.25,0.24,0.25
Egypt,0.27,0.25,0.24,0.29,0.26,0.25,0.24,0.23
El Salvador,0.11,0.17,0.18,0.19,0.17,0.17,0.17,0.17
Equatorial Guinea,0.23,1.51,0.38,0.14,0.14,0.11,0.11,0.12
Eritrea,0.08,0.15,0.12,0.11,0.08,0.10,0.12,0.13
Estonia,2.31,1.15,0.77,0.64,0.73,0.55,0.59,0.59
Eswatini,0.13,0.11,0.27,0.21,0.23,0.11,0.12,0.11
Ethiopia,0.08,0.08,0.09,0.09,0.07,0.09,0.09,0.09
Faroes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,0.24,0.16,0.21,0.36,0.19,0.16,0.16,0.15
Finland,0.40,0.42,0.32,0.28,0.31,0.21,0.20,0.21
France and Monaco,0.23,0.21,0.19,0.18,0.16,0.13,0.13,0.12
French Polynesia,0.18,0.09,0.13,0.14,0.13,0.07,0.07,0.07
Gabon,0.33,0.26,0.30,0.28,0.24,0.20,0.20,0.20
Georgia,0.91,0.80,0.37,0.24,0.24,0.30,0.30,0.29
Germany,0.41,0.33,0.29,0.27,0.25,0.22,0.21,0.20
Ghana,0.11,0.12,0.14,0.13,0.16,0.16,0.17,0.16
Gibraltar,0.22,0.40,0.39,0.41,0.46,0.51,0.54,0.49
Greece,0.38,0.38,0.36,0.32,0.28,0.27,0.28,0.27
Greenland,0.00,0.00,0.00,0.28,0.25,0.19,0.18,0.17
Grenada,0.11,0.10,0.07,0.10,0.12,0.21,0.19,0.18
Guatemala,0.08,0.12,0.14,0.14,0.12,0.14,0.14,0.16
Guinea,0.13,0.10,0.09,0.08,0.08,0.12,0.11,0.10
Guinea-Bissau,0.12,0.12,0.16,0.16,0.19,0.15,0.15,0.15
Guyana,0.16,0.16,0.23,0.21,0.18,0.31,0.32,0.32
Haiti,0.08,0.09,0.11,0.15,0.16,0.20,0.20,0.20
Honduras,0.15,0.21,0.23,0.29,0.25,0.26,0.24,0.24
Hong Kong,0.22,0.19,0.18,0.15,0.13,0.11,0.11,0.11
Hungary,0.44,0.39,0.32,0.26,0.23,0.19,0.20,0.19
Iceland,0.31,0.32,0.29,0.26,0.29,0.26,0.25,0.24
India,0.36,0.37,0.34,0.31,0.32,0.30,0.28,0.28
Indonesia,0.19,0.20,0.24,0.23,0.20,0.18,0.18,0.18
Iran,0.32,0.37,0.40,0.43,0.43,0.48,0.45,0.49
Iraq,0.34,0.83,0.30,0.30,0.32,0.30,0.29,0.31
Ireland,0.43,0.37,0.30,0.24,0.21,0.13,0.12,0.11
Israel and Palestine, State of,0.37,0.36,0.35,0.34,0.32,0.25,0.23,0.22
Italy, San Marino and the Holy See,0.24,0.23,0.22,0.23,0.20,0.17,0.17,0.16
Jamaica,0.43,0.41,0.48,0.46,0.33,0.32,0.33,0.33
Japan,0.30,0.30,0.29,0.28,0.26,0.26,0.25,0.24
