Country,1990,2000,2005,2010,2015,2017,2018,2018
EU28,4408.53,4121.66,4250.76,3922.47,3492.04,3524.98,3457.28,9.13
GLOBAL TOTAL,22637.13,25600.66,29911.66,33836.35,36311.98,37179.65,37887.22,100.00
Afghanistan,2.55,1.09,1.06,5.64,9.80,10.19,10.48,0.03
Albania,6.58,3.26,4.20,4.59,4.71,4.89,4.80,0.01
Algeria,67.97,84.45,98.77,116.41,156.27,157.33,165.33,0.44
Angola,11.30,16.61,16.22,24.02,32.74,32.05,30.05,0.08
Anguilla,0.01,0.02,0.01,0.02,0.03,0.03,0.03,0.00
Antigua and Barbuda,0.22,0.24,0.28,0.36,0.62,0.64,0.64,0.00
Argentina,112.44,150.57,165.48,191.22,212.00,213.71,210.16,0.55
Armenia,20.70,3.66,4.54,4.46,5.01,5.21,5.79,0.02
Aruba,0.30,0.45,0.47,0.50,0.96,0.98,0.99,0.00
Australia,277.45,353.78,391.57,412.83,401.95,411.57,415.31,1.10
Austria,62.93,68.10,81.01,75.32,69.06,72.46,71.44,0.19
Azerbaijan,58.08,28.07,30.49,24.75,32.70,31.66,34.70,0.09
Bahamas,1.52,1.63,2.07,1.75,3.00,3.06,3.08,0.01
Bahrain,11.99,17.76,23.37,28.84,33.76,34.94,34.23,0.09
Bangladesh,13.87,26.71,38.84,58.54,80.09,86.22,92.89,0.25
Barbados,0.78,1.65,2.16,2.34,3.17,3.08,3.32,0.01
Belarus,109.02,57.81,61.42,66.88,60.45,61.55,64.26,0.17
Belgium,116.00,124.88,118.70,115.89,103.97,103.82,105.75,0.28
Belize,0.19,0.31,0.44,0.25,0.44,0.44,0.45,0.00
Benin,0.42,1.57,2.84,5.11,5.99,7.29,7.54,0.02
Bermuda,0.34,0.28,0.28,0.36,0.43,0.44,0.44,0.00
Bhutan,0.21,0.45,0.51,1.32,1.24,1.53,1.55,0.00
Bolivia,6.53,8.27,9.99,14.83,19.67,22.22,22.81,0.06
Bosnia and Herzegovina,24.56,14.33,16.89,22.19,23.96,27.52,27.44,0.07
Botswana,2.82,4.18,4.47,3.50,7.17,7.68,7.43,0.02
Brazil,228.63,364.39,381.16,445.25,529.67,506.90,500.09,1.32
British Virgin Islands,0.03,0.03,0.03,0.07,0.15,0.15,0.15,0.00
Brunei,3.40,4.94,5.18,7.36,6.51,6.81,6.93,0.02
Bulgaria,82.27,47.74,52.03,48.64,48.47,47.47,44.59,0.12
Burkina Faso,0.38,0.90,1.04,1.87,3.12,3.58,3.71,0.01
Burundi,0.21,0.28,0.31,0.23,0.29,0.31,0.32,0.00
Cambodia,0.41,2.00,2.69,5.01,8.67,10.45,10.85,0.03
Cameroon,4.81,9.81,9.27,10.81,13.47,14.15,14.48,0.04
Canada,454.70,557.73,579.61,565.85,589.78,595.02,594.20,1.57
Cape Verde,0.05,0.16,0.23,0.33,0.88,1.00,1.04,0.00
Cayman Islands,0.15,0.17,0.19,0.28,0.49,0.50,0.51,0.00
Central African Republic,0.16,0.28,0.25,0.35,0.45,0.46,0.47,0.00
Chad,0.27,0.20,0.38,0.42,0.68,0.71,0.70,0.00
Chile,32.90,53.24,58.68,71.93,84.57,88.80,91.14,0.24
China,2397.51,3672.12,6264.76,9126.94,10820.80,11087.01,11255.88,29.71
