jour,Corona,Urgence,Hosp. Corona,n_dose1,n_complet,n_rappel,n_cum_dose1,n_cum_complet,n_cum_rappel,couv_dose1,couv_complet,couv_rappel,Hospitalisation,Réanimation,Guérisons,Morts,nbReg,nbDelta,P,T,Incidence,R,taux_occupation_sae,Positivité,tx_reg,dc_by_d
2021-11-26,725.0,47229.0,372.0,27022.0,31786.0,412796.0,50482766.0,49501506.0,7021166.0,7676.900000000001,7515.4,1122.5,9181.0,1563.0,434775.0,91925.0,97,96,38063.0,770463.0,294.348528223834,1.57,30.9,5.651581725965,87.28826092195327,60.0
2021-11-27,722.0,44820.0,369.0,19209.0,23973.0,235724.0,50501975.0,49525479.0,7256890.0,7679.2,7518.8,1158.3,9271.0,1617.0,435027.0,91959.0,95,96,27269.0,546957.0,308.819213947643,1.56,32.0,5.74191310669014,86.8287626169137,34.0
2021-11-28,719.0,42918.0,350.0,2656.0,3759.0,62711.0,50504631.0,49529238.0,7319601.0,7679.5,7519.5,1167.2,9381.0,1632.0,435119.0,91982.0,94,96,6690.0,113100.0,312.492014638457,1.55,32.3,5.76190601781795,83.7095456573541,23.0
2021-11-29,885.0,52286.0,450.0,15477.0,19504.0,369655.0,50520108.0,49548742.0,7689256.0,7682.6,7522.2,1224.4,9860.0,1749.0,435531.0,92085.0,97,97,58755.0,852946.0,344.671112617978,1.53,34.6,6.02232513724438,86.80706137869129,103.0
2021-11-30,856.0,47634.0,442.0,19690.0,22329.0,498111.0,50539798.0,49571071.0,8187367.0,7685.1,7526.2,1302.0,10249.0,1824.0,436187.0,92199.0,98,99,47944.0,812091.0,368.893717417397,1.51,36.1,6.13831089654748,87.96914702552066,114.0
2021-12-01,921.0,47433.0,441.0,20261.0,26453.0,508994.0,50560059.0,49597524.0,8696361.0,7689.2,7530.5,1382.3,10558.0,1886.0,436766.0,92292.0,98,99,48005.0,793952.0,390.43584820352,1.49,37.3,6.22275743283501,87.4976651707018,93.0
2021-12-02,961.0,48515.0,515.0,17296.0,17745.0,571137.0,50577355.0,49615269.0,9267498.0,7692.0,7533.0,1471.8,10790.0,1934.0,437363.0,92395.0,97,98,51074.0,845617.0,413.797244565093,1.46,38.2,6.32710533108517,87.44973545329678,103.0
2021-12-03,996.0,47424.0,540.0,20170.0,28066.0,647203.0,50597525.0,49643335.0,9914701.0,7695.5,7537.8,1569.6,11103.0,2058.0,438044.0,92508.0,97,99,51696.0,920515.0,434.077362294373,1.43,40.7,6.44487990747615,87.37608924276653,113.0
2021-12-04,1008.0,45428.0,512.0,14854.0,21528.0,366758.0,50612379.0,49664863.0,10281459.0,7697.6,7541.0,1623.7,11340.0,2037.0,438440.0,92557.0,97,99,35935.0,707500.0,446.993998882068,1.4,40.3,6.43667428196753,86.55227690635161,49.0
2021-12-05,914.0,43823.0,428.0,3186.0,4460.0,105858.0,50615565.0,49669323.0,10387317.0,7698.0,7541.6,1638.2,11526.0,2066.0,438589.0,92586.0,98,98,8873.0,155909.0,450.297284533807,1.36,40.8,6.43548902280616,82.97061710534176,29.0
2021-12-06,1143.0,53041.0,612.0,14927.0,21177.0,536009.0,50630492.0,49690500.0,10923326.0,7700.4,7544.5,1720.1,12096.0,2191.0,439237.0,92778.0,93,99,73691.0,1024484.0,472.569505518104,1.33,43.3,6.55463588100246,85.52858013357199,192.0
2021-12-07,1111.0,47963.0,600.0,18510.0,23713.0,700901.0,50649002.0,49714213.0,11624227.0,7703.9,7548.6,1829.5,12714.0,2351.0,440066.0,92942.0,96,99,57991.0,909709.0,487.552744360631,1.3,46.5,6.62810512974716,86.92711702579014,164.0
2021-12-08,1136.0,46343.0,517.0,20480.0,29194.0,642664.0,50669482.0,49743407.0,12266891.0,7707.1,7553.2,1929.3,13044.0,2426.0,440865.0,93071.0,87,96,55741.0,877017.0,499.05240997187,1.26,48.0,6.6827294204779,85.68119688689359,129.0
2021-12-09,1115.0,47621.0,582.0,19119.0,23647.0,721012.0,50688601.0,49767054.0,12987903.0,7709.6,7556.9,2041.0,13363.0,2461.0,441638.0,93198.0,82,94,54752.0,915004.0,504.48636701828,1.23,48.7,6.65216202240374,83.26410281841534,127.0
2021-12-10,1182.0,47034.0,600.0,21804.0,30955.0,800115.0,50710405.0,49798009.0,13788018.0,7714.2,7561.5,2162.5,13629.0,2498.0,442473.0,93339.0,64,91,53554.0,955535.0,507.223460271434,1.2,49.4,6.65340505651983,76.24631690420814,141.0
2021-12-11,1138.0,45041.0,509.0,16565.0,24253.0,476203.0,50726970.0,49822262.0,14264221.0,7716.8,7565.6,2233.4,13855.0,2539.0,442940.0,93404.0,52,86,37134.0,733885.0,509.015906206951,1.17,50.2,6.64751435742147,66.17633501274072,65.0
2021-12-12,1079.0,44480.0,512.0,4352.0,4988.0,157164.0,50731322.0,49827250.0,14421385.0,7717.5,7566.2,2253.4,14050.0,2602.0,443159.0,93452.0,58,76,9966.0,177977.0,510.665314062826,1.15,51.4,6.64361236597022,59.83989090152471,48.0
2021-12-13,1320.0,52826.0,673.0,16342.0,23007.0,643430.0,50747664.0,49850257.0,15064815.0,7719.5,7569.7,2349.7,14527.0,2752.0,443933.0,93683.0,61,68,78979.0,1079169.0,518.487709043262,1.13,54.4,6.70644605749632,78.07696141734263,231.0
2021-12-14,1151.0,46667.0,573.0,21373.0,26844.0,840481.0,50769037.0,49877101.0,15905296.0,7722.5,7574.0,2480.2,14819.0,2792.0,445100.0,93841.0,56,61,61389.0,929110.0,523.578970690529,1.11,55.2,6.73954995763328,81.19627222577333,158.0
2021-12-15,1146.0,45605.0,552.0,22281.0,30969.0,762025.0,50791318.0,49908070.0,16667321.0,7726.7,7579.2,2596.5,15062.0,2843.0,446101.0,93992.0,48,58,60019.0,926031.0,529.936715334628,1.1,56.2,6.76184830609205,80.09111998010637,151.0
2021-12-16,1163.0,46680.0,595.0,21839.0,27238.0,837233.0,50813157.0,49935308.0,17504554.0,7730.4,7582.9,2725.7,15142.0,2832.0,447156.0,94157.0,53,57,58286.0,956886.0,535.148665361593,1.09,56.0,6.76062186464902,80.19246617991526,165.0
2021-12-17,1168.0,46753.0,583.0,24858.0,34460.0,884999.0,50838015.0,49969768.0,18389553.0,7733.9,7588.8,2858.7,15410.0,2901.0,448151.0,94319.0,48,56,58927.0,1028513.0,543.079828881757,1.09,57.4,6.78114307603893,81.34762445357879,162.0
2021-12-18,1090.0,44657.0,507.0,19873.0,24038.0,517411.0,50857888.0,49993806.0,18906964.0,7737.6,7592.2,2934.2,15370.0,2933.0,448891.0,94404.0,48,57,42316.0,807548.0,550.809845102425,1.1,58.0,6.7904568141524,82.7224735502462,85.0
2021-12-19,1009.0,42049.0,468.0,6334.0,6114.0,188789.0,50864222.0,49999920.0,19095753.0,7738.6,7593.3,2958.6,15528.0,2936.0,449128.0,94479.0,56,52,13340.0,209737.0,555.875777089755,1.11,58.0,6.82103940605786,81.11657366241803,75.0
