item,date
dep,2022-03-14
Corona,2022-03-13
Urgence,2022-03-13
Hosp. Corona,2022-03-13
n_dose1,2022-03-13
n_complet,2022-03-13
n_rappel,2022-03-13
n_cum_dose1,2022-03-13
n_cum_complet,2022-03-13
n_cum_rappel,2022-03-13
couv_dose1,2022-03-13
couv_complet,2022-03-13
couv_rappel,2022-03-13
Hospitalisation,2022-03-14
Réanimation,2022-03-14
Guérisons,2022-03-14
Morts,2022-03-14
region,2022-03-14
libelle_reg,2022-03-14
libelle_dep,2022-03-14
Incidence,2022-03-11
R,2022-03-08
taux_occupation_sae,2022-03-14
Positivité,2022-03-11
tx_reg,2022-03-11
nbReg,2022-03-14
nbDelta,2022-03-14
P,2022-03-11
T,2022-03-11
pop,2022-03-11
Nom,2022-03-14
NbArr,2022-03-14
NbCan,2022-03-14
NbCom,2022-03-14
PopM,2022-03-14
PopT,2022-03-14
dc_by_d,2022-03-14
